# id	question (NL)	answer (NL)
bank3-9-264	De Bijbel behandelt zonde in termen van _____; menselijke stelsels neigen ertoe haar te verontschuldigen of te negeren.	vergeving
bank3-10-265	De Bijbel maakt _____ tot het enige middel tot behoud.	geloof
bank3-11-266	De Bijbel heeft één enkele morele maatstaf, namelijk _____.	heiligheid
bank3-12-267	De werkelijke overtuiging van de inspiratie van de Schrift ligt in het werk van de _____ en de inneming van verstand en wil door het _____.	Heilige Geest; heilige Woord
bank3-13-268	De Bijbel is de enige onfeilbare regel voor _____ en _____.	geloof; praktijk
bank3-14-269	Alle kerkelijk _____ moet gegrond zijn op het Woord van God.	bestuur
bank3-15-270	Alle leerstukken van ons _____ moeten aan de Schrift ontleend zijn.	geloof
bank3-1-271	God is één _____ wezen.	ondeelbaar, persoonlijk
bank3-2-272	De wezenlijke natuur van God kan worden aangeduid met de _____ eigenschappen.	onmededeelbare
bank3-3-273	De onmededeelbare eigenschappen zijn Zijn _____.	zelfbestaan, onveranderlijkheid en oneindigheid
bank3-4-274	De persoonlijke natuur van God kan worden aangeduid met Zijn _____ eigenschappen.	mededeelbare
bank3-5-275	Deze mededeelbare eigenschappen zijn Gods _____ natuur, Zijn _____ natuur en Zijn _____ natuur.	verstandelijke; wilsmatige; morele
bank3-6-276	Het onderscheidende van de _____ is dat Hij de Zoon van eeuwigheid heeft voortgebracht.	Vader
bank3-7-277	Het onderscheidende van de _____ is dat Hij van eeuwigheid door de Vader is voortgebracht.	Zoon
bank3-8-278	Het onderscheidende van de _____ is dat Hij van eeuwigheid uitgaat van de Vader en de Zoon.	Heilige Geest
bank3-9-279	De eigenschappen van de _____ behoren aan elk van de Personen van de Drie-eenheid.	goddelijke natuur
bank3-10-280	Bij het beschrijven van de godheid van de Drie-eenheid noemen wij elke Persoon _____.	oneindig, eeuwig en onveranderlijk
bank3-11-281	De Personen van de Drie-eenheid zijn dezelfde in _____ en gelijk in _____, _____ en eer.	wezen; macht; heerlijkheid
bank3-12-282	De vroegste aanwijzingen voor de leer van de Drie-eenheid komen voor in het _____.	Oude Testament
bank3-13-283	De term “Drie-eenheid” benadrukt de twee kanten van deze leer: de leer van de _____ en de leer van de _____ van God.	eenheid; drie-persoonlijkheid
bank3-14-284	Deuteronomium 6:4 benadrukt de _____ van God.	eenheid
bank3-15-285	In _____ sprak Salomo over Jehova als de enige God.	1 Koningen 8:60
bank3-16-286	In 1 Korinthe 8:6 sprak Paulus over één _____ en één _____.	God de Vader; Heere Jezus Christus
bank3-17-287	In 1 Timotheüs 2:5 berust het één-zijn van God op het feit dat er slechts één _____ is.	Middelaar
bank3-18-288	Volgens Jakobus 2:19 geloven zelfs de duivelen dat er _____ is.	één God
bank3-19-289	In Genesis 1:1 impliceert het woord _____ de leer van de Drie-eenheid.	Elohim
bank3-20-290	God erkende de meervoudigheid in de Godheid door Zijn gebruik van de voornaamwoorden _____ en _____ in Genesis 1:26.	ons; onze
bank3-21-291	In Genesis 11:7 wordt het voornaamwoord “ons” vervuld in het woord _____.	HEERE
bank3-22-292	Het gebruik van het voornaamwoord “ons” is een gemeenschap van de _____.	Drie-eenheid
bank3-23-293	In Hebreeën 1:8 spreekt God de Vader de Zoon aan als _____.	God
bank3-24-294	Jesaja 48:16 erkent het werk van zowel _____ als _____.	God; Zijn Geest
bank3-25-295	Volgens Romeinen 8:27 kent de _____ de wil van God.	Geest
bank3-26-296	In de formule van de _____ aanbidden wij God de Vader, God de Zoon en God de Heilige Geest.	doop
bank3-27-297	In 2 Korinthe 13:14 aanbidden wij God in _____ en in _____.	Drie-eenheid; eenheid
bank3-28-298	Wij aanbidden de _____ als de Bron van alle goedheid en liefde.	Vader
bank3-29-299	Wij aanbidden de _____ als onmisbaar voor goddelijke zegen en gemeenschap.	Geest
bank3-30-300	Wij aanbidden de _____ als de Uitdeler van genade.	Zoon
bank3-1-301	Jezus Christus is de _____ Zoon van God.	eeuwige
bank3-2-302	Christus is gelijk aan de Vader in _____ en in alle _____.	heerlijkheid en macht; goddelijke eigenschappen
bank3-3-303	Toen Christus mens werd, deed Hij dat zonder enige verandering in Zijn _____ natuur.	goddelijke
bank3-4-304	De _____ en _____ natuur werden verenigd in één Persoon, Jezus Christus.	goddelijke; menselijke
bank3-5-305	Jezus Christus bezat twee _____ en is één _____.	naturen; Persoon
bank3-6-306	Als _____ bedient Christus door Zijn Woord en Geest.	Profeet
bank3-7-307	Als Priester offert Christus _____ als offer en doet Hij _____.	Zichzelf; voorbede
bank3-8-308	Als Koning _____ Christus het koninkrijk van God.	roept, verdedigt, beschermt en volmaakt
bank3-9-309	De menselijke natuur van Christus kwam van _____.	Zijn moeder
bank3-10-310	De reinheid van Christus is toe te schrijven aan Zijn ontvangenis door de _____.	Heilige Geest
bank3-11-311	De menselijke natuur was voor Christus noodzakelijk om onze _____ te ervaren; om _____ te kunnen worden; om de _____ van de zonde te dragen; om _____ te vervullen; en om te dienen als _____.	zwakheden; verzocht; straf; gerechtigheid; Hogepriester
bank3-12-312	De Verlosser moest God én mens zijn om te kunnen dienen als _____.	middelaar
bank3-13-313	Christus werd onze vertegenwoordiger als de _____.	laatste Adam
bank3-14-314	Christus vervulde de wet om de _____ te herstellen die Adam verspeelde.	gerechtigheid
bank3-15-315	De kruisiging van Christus was noodzakelijk om te voldoen aan het goddelijke _____.	oordeel
bank3-16-316	Volgens Romeinen 4:23-25 is Christus overgeleverd om onze _____ en opgewekt om onze _____.	overtredingen; rechtvaardiging
bank3-17-317	Wij zijn met God _____ door de dood van Zijn Zoon; wij worden _____ door Zijn leven.	verzoend; behouden
bank3-18-318	Door de _____ van één mens kwam het oordeel over alle mensen.	overtreding
bank3-19-319	Door de _____ van één Mens, Christus, kwam de vrije gave van behoud tot de hele mensheid.	gerechtigheid
bank3-20-320	In 2 Korinthe 5:18, 19 wordt de bediening van de _____ beschreven.	verzoening
bank3-21-321	Opdat de bediening van de verzoening vervuld zou worden, was het nodig dat _____ in Christus was.	God
bank3-22-322	God verzoende de wereld met Zichzelf door hun overtredingen hun niet toe te _____.	rekenen
bank3-23-323	Volgens 2 Korinthe 5:21 is Christus voor ons tot _____ gemaakt.	zonde
bank3-24-324	In 2 Korinthe 5:21 wordt verklaard dat wij tot _____ van God gemaakt worden in Christus.	gerechtigheid
bank3-25-325	Volgens Hebreeën 2:16-18 nam Christus de natuur aan van het zaad van _____.	Abraham
bank3-26-326	Dat Christus vlees werd, was noodzakelijk om onze _____ te worden.	Hogepriester
bank3-27-327	De nadruk op de letterlijkheid van Christus’ dood bepaalt ons verstaan van Zijn _____.	opstanding
bank3-28-328	Het opgestane lichaam van Christus was _____.	letterlijk, vleselijk en verheerlijkt
bank3-29-329	Om de hemel binnen te gaan, moest het lichaam van Christus _____ worden.	onsterfelijk en heerlijk
bank3-30-330	De opstanding is het _____ van _____ van de Vader op Christus _____ en op Zijn _____.	zegel; goedkeuring; persoonlijk; leven en dood
bank3-31-331	1 Korinthe 15:3, 4 laat zien dat het Oude Testament de _____ van Christus had voorzegd.	dood, begrafenis en opstanding
bank3-32-332	In 1 Timotheüs 3:16 worden de menswording van Christus en Zijn verlossingswerk de _____ van de _____ genoemd.	verborgenheid; godzaligheid
bank3-33-333	De gelovige ontvangt vier weldaden van de opstanding van Christus: zijn _____, zijn _____, _____ over zijn vijanden en de zekerheid van de _____.	rechtvaardiging; geestelijke levendmaking; overwinning; opstanding
bank3-34-334	Volgens Efeze 1:19-23 tonen Christus’ _____ Gods kracht in ons behoud.	opstanding en hemelvaart
bank3-35-335	Als Profeet openbaart Christus de _____ van _____.	wil; God
bank3-36-336	Door inspiratie heeft Christus ons de _____ gegeven.	Schrift
bank3-37-337	Als Priester is het Christus’ doel Zijn bloed te offeren tot onze _____.	verzoening
bank3-38-338	Als eeuwige Priester doet Christus _____ voorbede voor ons.	eeuwigdurende
bank3-39-339	Als Koning regeert Christus zowel in _____ als in de _____.	Zijn koninkrijk; wereld
bank3-40-340	In Christus’ heerschappij over de wereld is Hij _____ en _____.	Schepper; Onderhouder
bank3-1-341	Het gehele Adamitische geslacht was dood in _____ en _____.	misdaden; zonden
bank3-2-342	Het Adamitische geslacht werd verdorven in alle menselijke _____.	vermogens
bank3-3-343	Bekering van zonde is een weldaad van _____.	goddelijke genade
bank3-4-344	Bekering raakt de mens in zijn _____.	verstand, gevoel en wil
bank3-5-345	De zondaar moet overtuigd worden van zijn _____ voor God.	schuld, verdorvenheid en aanstootgevendheid
bank3-6-346	De vernieuwing van de _____ blijkt uit het feit dat de zondaar zich van zijn zonden afkeert.	wil
bank3-7-347	Zonde is het voortbrengsel van de menselijke _____.	wil
bank3-8-348	Mensen zijn verdorven in hun _____, omdat er geen vreze Gods voor hun ogen is.	godsdienstige ervaring
bank3-9-349	Paulus beschrijft de _____ van de mensheid in Romeinen 3:9-18 en stelt dat wij allen onder de zonde zijn.	zondigheid
bank3-10-350	Volgens Romeinen 2:4 leidt de _____ van _____ mensen tot bekering.	goedertierenheid; God
bank3-11-351	Handelingen 11:18 zegt dat God ook de heidenen _____ heeft geschonken.	bekering
bank3-12-352	Volgens 2 Timotheüs 2:25 moeten wij bidden dat God de mensheid _____ geeft.	bekering
bank3-13-353	Volgens Jeremia 13:23 kunnen mensen uit zichzelf niet _____ met de _____.	ophouden; zonde
bank3-14-354	Naast de wet van God moeten mensen het _____ horen en leren.	evangelie
bank3-15-355	Het evangelie vernieuwt de _____ van mensen, zodat zij zich kunnen bekeren.	wil
bank3-16-356	Romeinen 1:16, 17 verklaart dat het evangelie een kracht van God is tot _____.	behoud
bank3-17-357	Volgens 2 Korinthe 7:10 werkt _____ bekering.	droefheid naar God
bank3-18-358	2 Korinthe 7:11 beschrijft de innerlijke beroering van de _____.	bekering
bank3-19-359	Volgens Romeinen 6:16 is de gevallen mensheid volkomen _____ aan de zonde.	dienstbaar
bank3-20-360	Om zich te kunnen bekeren moet de wil van de zondaar vernieuwd worden door de _____.	Heilige Geest
bank3-21-361	Volgens Romeinen 6:17-19 is bekering een _____ van het leven.	ommekeer
bank3-22-362	Deze vrucht omvat het _____ van het verleden, _____ van onrecht en _____ van zonden.	verlaten; herstel; belijdenis
bank3-23-363	De noodzaak van bekering wordt bevestigd door _____ en _____.	het verstand; de Schrift
bank3-24-364	Bekering was de onvoorwaardelijke oproep van _____ en _____ bij hun aankondiging van het koninkrijk van God (Mattheüs 3:2; 4:17).	Johannes; Jezus
bank3-25-365	De preek van Petrus was een antwoord op de vraag van het volk in _____.	Handelingen 2:38
bank3-26-366	Volgens 2 Petrus 3:9 moet bekering gepredikt worden in het licht van Christus’ _____.	wederkomst
bank3-27-367	Het werk van de Heilige Geest is noodzakelijk bij bekering, omdat wij geestelijk _____ waren.	dood
bank3-28-368	Het werk van de Heilige Geest is noodzakelijk om _____ voort te brengen.	droefheid naar God
bank3-29-369	Het is het werk van de Heilige Geest de wereld te overtuigen van _____, van _____ en van _____.	zonde; gerechtigheid; oordeel
bank3-30-370	Jezus zei dat wanneer de Heilige Geest komt, Hij de wereld zal _____ van zonde, van gerechtigheid en van oordeel.	overtuigen
bank3-1-371	De gronden van de daad van rechtvaardiging zijn de volmaaktheid van _____, de verzoening door _____ en de overwinning van _____.	Christus’ leven; Zijn dood; Zijn opstanding
bank3-2-372	Rechtvaardiging bevrijdt gelovigen van _____, ontheft hen van _____ en geeft hun de _____ van Christus.	schuld; oordeel; verdienste
bank3-3-373	Het enige middel om de gave van de rechtvaardiging te ontvangen is _____.	geloof
bank3-4-374	Wedergeboorte is een _____ daad van God.	scheppende
bank3-5-375	In de daad van de wedergeboorte planten het _____ het zaad van het nieuwe leven.	Woord en de Geest
bank3-6-376	De gelovige wordt opnieuw geschapen in _____.	verstand, hart en wil
bank3-7-377	Rechtvaardiging als gave van God is een daad van _____.	goddelijke genade
bank3-8-378	Volgens Romeinen 8:33 _____ God de goddeloze.	rechtvaardigt
bank3-9-379	Romeinen 3:24 beschrijft de werking van Gods _____ in de rechtvaardiging.	genade
bank3-10-380	Rechtvaardiging is een verklaring van _____ en van _____.	vergeving; gerechtigheid
bank3-11-381	God schrijft _____ over het hele verleden leven van zonde.	vergeven
bank3-12-382	Wanneer God vergeeft, neemt Hij ook de _____ van de zonde weg.	veroordeling
bank3-13-383	Het _____ van God is volkomen bevredigd in het vergieten van Christus’ bloed.	oordeel
bank3-14-384	Volgens Efeze 1:7 hebben gelovigen _____ door Christus’ bloed.	verlossing
bank3-15-385	God verklaart gelovigen rechtvaardig door de _____ van Christus’ leven op hun rekening te zetten.	volmaaktheid
bank3-16-386	Dit register van verdienste komt volkomen overeen met het _____ van God.	karakter
bank3-17-387	Als rechterlijke daad verandert de aanneming tot kind de _____ status van de mens.	juridische
bank3-18-388	De gevolgen van de aanneming tot kind zijn dat wij worden opgenomen in het _____ van God en dat wij _____ van God worden.	gezin; erfgenamen
bank3-19-389	In rechtvaardiging en aanneming tot kind wordt de _____ van de mens veranderd.	positie
bank3-20-390	In de wedergeboorte wordt het _____ van de mens veranderd.	karakter
bank3-21-391	Het _____ van de nieuwe geboorte is de Heilige Geest.	werktuig
bank3-22-392	Wedergeboorte herstelt het _____ van _____ in de mens.	beeld; God
bank3-23-393	Volgens Efeze 4:23 en Kolossenzen 3:10 herstelt de nieuwe geboorte de _____ en ware _____ en vernieuwt zij het _____.	gerechtigheid; heiligheid; verstand
bank3-24-394	Volgens 2 Korinthe 3:3 wordt het hart van _____ verbroken en wordt een hart van _____ gegeven.	steen; vlees
bank3-25-395	De vernieuwing van de _____ wordt beschreven in Hebreeën 13:21.	wil
bank3-26-396	Het gevolg van de nieuwe geboorte is een _____ verandering van levenswandel.	radicale
bank3-27-397	_____ wordt de gesteldheid van de ziel.	Heiligheid
bank3-28-398	_____ wordt het motief van het leven.	Liefde
bank3-29-399	God stelt de wedergeboren mens in staat op te houden met het bedrijven van _____.	zonde
bank3-30-400	Dit geloof erkent de noodzaak van het _____ en de _____ van God.	Woord; Geest
bank3-1-401	Heiliging is een _____ van goddelijke genade.	daad
bank3-2-402	De grond waarop God de daad van heiliging verricht, is het _____ van Christus.	bloed
bank3-3-403	In de daad van de heiliging wordt het lichaam van de _____ gekruisigd en wordt ongerechtigheid uit het hart _____.	zonde; gereinigd
bank3-4-404	Naar hun aard zien _____ vooruit naar de heiliging.	rechtvaardiging, wedergeboorte en aanneming tot kind
bank3-5-405	_____ heeft te maken met de vraag naar de verontreiniging.	Heiliging
bank3-6-406	Heiliging heeft ook te maken met de vraag naar afzondering van de _____ en de _____.	zonde; wereld
bank3-7-407	Volgens Johannes 15:2 is het doel van het snoeien het _____.	dragen van vrucht
bank3-8-408	De Schrift gebruikt verschillende beelden om het lichaam van de zonde te beschrijven: de _____ in Romeinen 6:6; de _____ die “in mij woont” in Romeinen 7:17; het “lichaam van deze _____” in Romeinen 7:24; het _____ in Romeinen 7:25; de wet van de _____ en de _____ in Romeinen 8:2; de _____ gezindheid in Romeinen 8:7.	oude mens; zonde; dood; vlees; zonde; dood; vleselijke
bank3-9-409	De “oude mens” wordt behandeld in termen van _____.	kruisiging
bank3-10-410	Volgens Romeinen 8:2 moet de gelovige _____ worden van de wet van de zonde en de dood.	vrijgemaakt
bank3-11-411	Volgens Galaten 6:14 moet de wereld voor de gelovige _____ zijn en de gelovige voor de wereld.	gekruisigd
bank3-12-412	Efeze 5:25, 26 spreekt over de wassing met water door het _____.	Woord
bank3-13-413	In 2 Korinthe 7:1 wordt heiliging genoemd als reiniging van alle bezoedeling van het _____ en de _____.	vlees; geest
bank3-14-414	Zij wordt daarom voorzien en toegepast door goddelijke werktuigen: de voorziening is het _____ van Christus; het werktuig van de toepassing is de _____.	bloed; Heilige Geest
bank3-15-415	Volgens Handelingen 26:18 worden gelovigen geheiligd door _____.	geloof
bank3-1-416	Het najagen van _____ is de normale levenswijze voor de gelovige.	heilig leven
bank3-2-417	De gelovige is voor het najagen van heiligheid volkomen afhankelijk van het _____ en de _____ als werktuigen van de verlossing, en van de _____ van Christus.	Woord; Geest; dood
bank3-3-418	Het najagen van heiligheid verwerpt alle listen van het _____.	vlees
bank3-4-419	1 Johannes 2:1 zegt dat als wij zondigen, wij een _____ hebben bij de Vader, Jezus Christus de Rechtvaardige.	Voorspraak
bank3-5-420	Het is het doel van ons persoonlijk _____ dat wij onze lichamen stellen tot een levend offer voor God.	priesterschap
bank3-6-421	De aansporing in 2 Korinthe 7:1 om onszelf te reinigen van de bezoedeling van vlees en geest is gegrond op de _____ van God.	beloften
bank3-7-422	De kastijding van de Heere over Zijn kinderen heeft twee doelen. Het eerste is dat wij deel krijgen aan Zijn _____ en het tweede dat wij de _____ van de gerechtigheid voortbrengen.	heiligheid; vrucht
bank3-8-423	De doelen van de _____ van de Heere staan in Hebreeën 12:9-11.	kastijding
bank3-9-424	Volgens Hebreeën 12:14 zijn het najagen van _____ en vrede onmisbaar om God te zien.	heiligmaking
bank3-10-425	De begeerte van het vlees, de begeerte van de ogen en de hoogmoed van het leven zijn de _____ van de wereldgelijkvormigheid.	werkwijzen
bank3-11-426	De overwinning van de gelovige over de wereld en haar begeerten is een daad van _____ in Christus.	geloof
bank3-12-427	Volgens Johannes 15:3 zijn wij rein door het _____.	Woord
bank3-13-428	In Johannes 17:17 bad Christus dat de discipelen geheiligd zouden worden door de _____.	Waarheid
bank3-14-429	Volgens _____ is de zuivere melk van het Woord onmisbaar om verkeerde houdingen en werken af te leggen.	1 Petrus 2:1, 2
bank3-15-430	Het werk van de _____ is onmisbaar om vrijgemaakt te worden van de wet van de zonde en de dood.	Heilige Geest
bank3-16-431	Een gelovige vervult de _____ van de wet door in de Geest te wandelen.	gerechtigheid
bank3-17-432	Volgens Romeinen 8:13 moeten door de Geest de _____ van het lichaam gedood worden.	werken
bank3-18-433	Volgens Galaten 5:16 vermijdt de gelovige het wandelen naar het _____ door in de Geest te wandelen.	vlees
bank3-19-434	De leiding van de Geest brengt de _____ van de Geest voort.	vrucht
bank3-20-435	Drie elementen halen het najagen van heiligheid weg uit het domein van eigen prestatie: _____, het _____ en de _____.	geloof; Woord; Geest
bank3-1-436	Gedoopt worden met de Heilige Geest is _____ worden met de Geest.	vervuld
bank3-2-437	De doop met de Heilige Geest is een bijzondere toerusting met de _____ van God.	kracht
bank3-3-438	In Efeze 5:18 staat vervuld worden met de Geest tegenover _____ zijn.	dronken van wijn
bank3-4-439	De mens wordt onder de invloed van de Heilige Geest gebracht, zodat Hij de _____ natuur van de gelovige bestuurt.	persoonlijke
bank3-5-440	De Heilige Geest is het persoonlijke werktuig van de _____ van God.	openbaring
bank3-6-441	Verschillende titels van de Heilige Geest die in de Schrift voorkomen zijn _____.	Geest van God; Geest van uw Vader; Geest van de Heere; Geest van Christus; en Geest van Gods Zoon
bank3-7-442	De ervaring van de doop met de Heilige Geest is beloofd aan hen die reeds _____ zijn.	gelovigen
bank3-8-443	Nadat Hij Zijn discipelen de belofte van de Heilige Geest had gegeven, bad Christus om hun _____.	heiliging
bank3-9-444	Het gebed van Christus voor Zijn discipelen staat opgetekend in _____.	Johannes 17
bank3-10-445	Het is de aard van de Heilige Geest om _____ te vragen van hen die Hij vervult.	heiligheid
bank3-1-446	De ervaring van het spreken in tongen is een openbaring van de _____.	Heilige Geest
bank3-2-447	Spreken in tongen zoals de Heilige Geest het geeft uit te spreken, is een _____ communicatie.	goddelijk-menselijke
bank3-3-448	De gelovige spreekt in nauwkeurige beantwoording aan de _____ van de Heilige Geest.	bedoeling
bank3-4-449	Het eerste uiterlijke bewijs van de _____ met de Heilige Geest is het spreken in tongen.	doop
bank3-5-450	Volgens Handelingen 2:4 werd het spreken in tongen door de gelovigen _____ door en _____ door de zalving van de Heilige Geest.	aangezet; gegeven
bank3-6-451	De gelovigen _____ hun spreken in tongen niet.	begonnen
bank3-7-452	Handelingen 10:44 tekent de uitstorting van de Heilige Geest op _____ op.	Cornelius
bank3-8-453	Zij die Petrus naar het huis van Cornelius vergezelden, waren ervan overtuigd dat de Heilige Geest aan Cornelius en zijn huis was gegeven, omdat zij hen _____ hoorden.	in tongen spreken
bank3-9-454	Voordat Paulus bepaalde gelovigen in Efeze doopte, onderwees hij hun over de boodschap van _____, de _____ doop en de gave van de _____.	Christus; christelijke; Heilige Geest
bank3-10-455	De gelovigen in Efeze ontvingen de uitstorting van de Heilige Geest toen Paulus _____.	hun de handen oplegde
bank3-11-456	Het verslag in Handelingen 19 laat zien dat de Efeziërs _____.	in tongen spraken en profeteerden
bank3-12-457	Spreken in tongen is een ervaring die verbonden is met de _____ met de Heilige Geest.	doop
bank3-13-458	Spreken in tongen is een ervaring die _____ wordt door en _____ is van het werken van de Heilige Geest.	begonnen; afhankelijk
bank3-14-459	Spreken in tongen wordt door de nieuwtestamentische gemeente steeds gebruikt als _____ van de doop met de Heilige Geest.	bewijs
bank3-15-460	De oudtestamentische profetie van Joël 2:28-32 laat zien dat de gave van de Heilige Geest voor _____ is.	alle gelovigen
bank3-16-461	_____ haalt de profetie van Joël aan in zijn toespraak op de Pinksterdag in Handelingen 2:17.	Petrus
bank3-17-462	Petrus verbond de belofte van Joël ook met de _____ van het evangelie.	uitbreiding
bank3-18-463	Handelingen 2:38, 39 beschrijft de _____ toepassing van de belofte van Joël aangaande de Heilige Geest.	algemene
bank3-19-464	Paulus liet zien dat de ervaring van het spreken in tongen in de gemeente zou voortduren door zijn onderwijs aan de _____.	Korinthiërs
bank3-1-465	Wij spreken over de waterdoop als een _____.	sacrament
bank3-2-466	De waterdoop is door Christus _____, zoals opgetekend in Mattheüs 28:19, 20.	ingesteld
bank3-3-467	De inzetting van de waterdoop moet worden bediend door de _____.	gemeente
bank3-4-468	De waterdoop stelt de intrede van de gelovige in het _____ voor.	koninkrijk van God
bank3-5-469	De zichtbare tekenen van het sacrament van de waterdoop zijn _____ en de handeling van de _____.	water; onderdompeling
bank3-6-470	Het element water stelt het bad van de _____ voor.	wedergeboorte
bank3-7-471	De werkelijke geestelijke ervaring wordt geschonken door het _____ van God en het _____ van Christus.	Woord; bloed
bank3-8-472	De handeling van onderdompeling stelt de _____ van de gelovige met Christus voor.	dood, begrafenis en opstanding
bank3-9-473	De doop is Christus’ ingestelde getuigenis van de _____ van de gelovige en van diens _____ in Christus.	bekering; nieuwe leven
bank3-10-474	De doop is een _____ van Gods werk van wedergeboorte.	teken en zegel
bank3-11-475	De waterdoop is belangrijk als een daad van _____.	gehoorzaamheid
bank3-12-476	Sacramenten zijn bedoeld om _____ uit te beelden.	godsdienstige ervaring
bank3-13-477	Om dood, begrafenis en opstanding voor te stellen is _____ passend.	onderdompeling
bank3-14-478	Romeinen 6:4, 5 beschrijft het verband tussen onze wandel in nieuwheid van leven en de _____ van Jezus Christus.	opstanding
bank3-15-479	De gemeente is het tijdelijke _____ voor God bij het bedienen van dit sacrament.	werktuig
bank3-16-480	Wanneer de gemeente iemand doopt, is dat een erkenning dat de gemeente het _____ van die persoon over zijn behoud aanvaardt.	getuigenis
bank3-17-481	Volgens 1 Petrus 3:21 is de doop het antwoord van een goed _____ tot God.	geweten
bank3-18-482	Hoewel de waterdoop niet wederbaart, staat hij geestelijk in verband met onze doop in het _____, zoals beschreven in Galaten 3:27.	lichaam van Christus
bank3-19-483	De juiste formule voor het bedienen van de waterdoop is “in de naam van de _____, en van de _____, en van de _____”.	Vader; Zoon; Heilige Geest
bank3-20-484	De woorden van de doopformule aanbidden de _____.	Drie-enige God
bank3-1-485	De verzoening door Christus voorziet in de verlossing van de gehele mens: _____.	lichaam, ziel, geest
bank3-2-486	De verzoening geeft vrijheid van _____ en ook verlossing van de _____ gevolgen van de zonde.	zonde; rechterlijke
bank3-3-487	De mensheid heeft Gods _____ wet en Zijn wetten van de _____ overtreden.	morele; natuur
bank3-4-488	De morele en geestelijke gevolgen van de zonde van de mens zijn zijn _____ en _____.	verdorvenheid; vervreemding
bank3-5-489	De lichamelijke (en ook geestelijke) gevolgen van de zonde van de mens zijn _____ en _____.	ontbinding; dood
bank3-6-490	God heeft in alle tijden Zijn boodschap van behoud verbonden met Zijn boodschap van _____.	genezing
bank3-7-491	In Exodus 15:26 beloofde God Israël bevrijding van _____.	ziekten
bank3-8-492	Genezing gaat samen met het uitgaan van het _____ van God (Psalm 107:20).	Woord
bank3-9-493	Genezing wordt in Psalm 103:1-3 verbonden met de genade van de _____.	vergeving
bank3-10-494	Mattheüs 8:16, 17 legt de genezingsbediening van Jezus uit als een vervulling van de profetie van _____.	Jesaja 53:4, 5
bank3-1-495	De zichtbare elementen van het sacrament van het Avondmaal des Heeren zijn het _____ en de _____ van de _____.	brood; vrucht; wijnstok
bank3-2-496	Het brood stelt het gebroken _____ van _____ voor.	lichaam; Christus
bank3-3-497	De wijn stelt het _____ van _____ voor; het wordt vergoten als het zegel van het _____.	bloed; Christus; nieuwe verbond
bank3-4-498	De weldaden van het Avondmaal des Heeren worden ontvangen door _____.	geloof
bank3-5-499	Het Avondmaal des Heeren is een _____ van Christus’ dood en een verwachting van Zijn _____.	gedachtenis; wederkomst
bank3-6-500	Het vieren van het Avondmaal des Heeren is van wezenlijk belang voor _____ en geestelijke _____.	gehoorzaamheid; voeding
bank3-7-501	Het doel van het sacrament van de wassing van de voeten der heiligen is de blijvende _____ met _____ voor te stellen, de _____ van de gelovige door Christus, en het _____ van de gelovige jegens anderen in het lichaam.	vereniging; Christus; reiniging; dienstbetoon
bank3-8-502	Het element water in de voetwassing stelt de _____ voor van hen die in Christus zijn.	wassing
bank3-9-503	De handeling van het wassen van voeten stelt de _____ van gelovigen aan elkaar voor.	onderwerping
bank3-10-504	Het sacrament van de voetwassing geeft een middel van genade tot het voortduren van geestelijke _____ en de _____ van dienstknechten.	reiniging; gemeenschap
bank3-11-505	Naar zijn aard is het Avondmaal des Heeren een maaltijd en daarom een passend zinnebeeld van _____.	voeding
bank3-12-506	De handeling van het uitschenken van de wijn beeldt het _____ van Christus’ bloed uit.	vergieten
bank3-13-507	Christus duidde de beker aan als het _____ in Zijn bloed.	nieuwe testament
bank3-14-508	Jezus benadrukte het Avondmaal des Heeren als een daad van _____.	viering
bank3-15-509	In Johannes 13:15, 16 duidde Jezus Zijn wassen van de voeten van de discipelen aan als een _____ voor de gelovigen.	voorbeeld
bank3-16-510	Het voortduren van de praktijk van de wassing van de voeten der heiligen in de gemeente blijkt uit _____.	1 Timotheüs 5:10
bank3-17-511	Christus gaf het sacrament van de voetwassing een _____ betekenis.	verlossende
bank3-18-512	In Johannes 13:10 liet Jezus zien dat de reiniging van dit sacrament _____ is.	zinnebeeldig
bank3-19-513	Zowel het Avondmaal des Heeren als de wassing van de voeten der heiligen zijn _____ vieringen.	herhaalde
bank3-20-514	De herhaling van het Avondmaal des Heeren erkent de voortdurende behoefte aan _____ en de behoefte aan veelvuldige herinnering aan Christus’ _____.	voeding; wederkomst
bank3-1-515	Artikel 13 van de Geloofsverklaring belijdt het geloof in de _____ wederkomst van Christus.	persoonlijke, letterlijke en lichamelijke
bank3-2-516	Met de term _____ duiden wij aan dat Christus zal terugkeren vóór het begin van het duizendjarig rijk.	premillennialistisch
bank3-3-517	Het eerste doel van de tweede komst van Christus is de _____ van gelovigen.	verheerlijking
bank3-4-518	Deze opstanding zal _____ en _____ zijn.	letterlijk; lichamelijk
bank3-5-519	De heerschappij van Christus zal worden uitgeoefend door Zijn _____ tegenwoordigheid in de wereld.	persoonlijke en lichamelijke
bank3-6-520	Christus’ wederkomst is de laatste handeling in de vervulling van Gods _____ plan.	verlossende
bank3-7-521	Voor de gelovige zal de wederkomst van Christus voorzien in de verlossing van het lichaam, wat de _____ ervan is.	verheerlijking
bank3-8-522	Christus’ neerdalen met de stem van de aartsengel en de bazuin van God wordt beschreven in _____.	1 Thessalonicenzen 4:16
